DGA National Headquarters - Los Angeles,310-289-2000,800-421-4173
DGA - New York Office,212-258-0800,800-356-3754
Work Report Line - West Coast,310-289-2040,
Work Report Line - East Coast,212-258-0890,
Safety Hot Lines,310-289-5326,800-342-3457
Sexual Harassment Hotline,310-289-2006,
Contract Violation Anonymous Hot Line:,310-289-5300,press 3
Membership Screenings - LA,310-289-5300,press 1
Membership Screenings - NY,212-258-0890,
Committee Events and Special Events,310-289-5366,
Fax,310-289-2029,
Pension & Health Plans,323-866-2200,877-866-2200
DGACA (DGA Contract Administration) - West,818-461-0916,
DGACA (DGA Contract Administration) - East,914-747-2979,
DGA Commercial Contract Administration,212-397-0930,
DGA Training Plan - LA,818-386-2545,
DGA Training Plan - NY,212-397-0930,
