IATSE STUDIO LOCALS,Unnamed: 0,Directors Guild (LA),(310) 289-2000
,,SAG-AFTRA - General,(323) 954-1600
"Affiliated Property Craftspersons (incProps, Set Dec, Special FX)",Local #44,,
,,SAG-AFTRA - TV Contracts,(323) 549-6835
"Motion Picture Studio Grips (Inc Crafts Service, First Aid)",Local #80,SAG-AFTRA - Theatrical Contracts,(323) 549-6828
International Cinematographers Guild (inc Publicists),Local #600,SAG-AFTRA - BG Actor Contracts,(323) 549-6811
,,SAG-AFTRA - Pension & Health,(818) 954-9400
"IATSE Production Sound Technicians, Television Engineers,",,,
,Local #695,Department of Labor,(818) 901-5484
Video Assist Technicians and Studio Projectionists,,,
,,The Studio Teachers,(818) 559-9600
Motion Pictures Editors Guild,Local #700,DGA Training Program - LA,(818) 386-2545
Motion Picture Costumers,Local #705,DGA Training Program - NY,(212) 397-0930
