Unnamed: 0,Unnamed: 1,ABC,(818) 560-1000
Studio Electrical Lighting Technicians,Local #728,Amazon Studios,(310) 573-2300
Motion Pictures Set Painters and Sign Writers,Local #729,CBS,(323) 575-2345
,,FOX Broadcasting Company,(310) 369-1000
"Art Directors Guild (Inc Illustrators, Matte, Scenic, Title,",,,
,Local #800,,
& Graphic Artists),,HBO,(310) 382-3000
,,HULU,(310) 571-4700
The Animation Guild* (*Not part of the basic bargaining unit),Local #839,,
,,NBC / Universal,(818) 777-1000
"Script Supervisors/Continuity, Coordinators, Accountants &",,Lifetime Entertainment Television,(310) 556-7500
,Local #871,,
Allied Production Specialist Guild (Inc TV Script Coordinators),,Netflix,(310) 734-2956
Motion Pictures Teachers and Welfare Workers,Local #884,Nickelodeon,(323) 468-5050
,,Showtime,(310) 234-5300
