Unnamed: 0,Unnamed: 1,CBS/Radford,(818) 655-5000
IATSE BASIC CRAFT LOCALS,,The Culver Studios,(310) 202-1234
,,DreamWorks Studios,(818) 733-7000
International Brotherhood of Electrical Workers,Local #40,Hollywood Center Studios,(323) 860-0000
Plumbers and Pipe Fitters,Local #78,L.A. Center Studios,(213) 534-3000
,,Lionsgate,(310) 449-9200
Studio Transportation Drivers,Local #399,,
,,Paramount Pictures,(323) 956-5000
Location Managers,Local #399,Raleigh Studios,(323) 466-3111
Casting Directors,Local #399,Raleigh Manhattan Beach,(310) 727-2700
,,Santa Clarita Studios,(661) 294-2000
Studio Utility Employees,Local #724,,
,,Sony Pictures Entertainment,(310) 244-4000
Studio Plasterers and Cement Finishers,Local #755,Sunset-Bronson Studios,(323) 460-5858
,,Sunset-Gower Studios,(323) 467-1001
,,Sunset-Las Palmas Studios,(323) 860-0000
,,The Lot,(323) 850-3180
,,Twentieth Century Fox Lot,(310) 369-1000
,,Universal Pictures,(818) 777-1000
,,Walt Disney Studios,(818) 560-1000
,,Warner Bros. Pictures,(818) 954-6000
