Unnamed: 0,“ON PRODUCTION”  (“OFF PRODUCTION”),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Miniseries or Series - Free / Pay /Basic Cable / SVOD,Long-FormTV,Theatrical,,
,Mini Series,1-hr & 1/2-Hr Series,,,
Following:,Season 1,Season 2& After,,,
Studio / “BUS To”,10 hrs (9 hrs),9 hrs (8 hrs),10 hrs (9 hrs),9 hrs (8 hrs),9 hrs (8 hrs)
Zone Report*,10 hrs (10 hrs),10 hrs (10 hrs),10 hrs (10 hrs),10 hrs (10 hrs),10 hrs (10 hrs)
2nd Zone Report**,10 hrs (10 hrs),10 hrs (10 hrs),10 hrs (10 hrs),10 hrs (10 hrs),10 hrs (10 hrs)
Nearby LocationBeyond 2nd Zone,10 hrs (10 hrs),9 hrs (8 hrs),10 hrs (10 hrs),9 hrs (8 hrs),9 hrs (8 hrs)
DP / Cam Op,11 hrs,11 hrs,11 hrs,11 hrs,11 hrs
Still Photographer,10 hrs,10 hrs,10 hrs,10 hrs,10 hrs
Cam Asst / Loader / DIT/ Utility,10 hrs,9 hrs,10 hrs,9 hrs,9 hrs
After 2 ConsecutiveDays of 14+ Hrs,N/A,N/A,N/A,10 hrs (9 hrs),10 hrs (9 hrs)
DP / Cam Op - Night Ext,10 hrs,10 hrs,10 hrs,10 hrs,10 hrs
Multicam Cam Op“Back to back” showsonce per month,,10 hrs,10 hrs,N/A,N/A
APOC & Art DeptCoord,10 hrs,10 hrs,10 hrs,10 hrs,10 hrs
Script Coord & Writer’sAsst (in TV),8 hrs,8 hrs,8 hrs,8 hrs,N/A
